************************************************************************************************************************************************

2020-09-12 19:08:19
Starting photon ID training BDT

featFilePath	=	dataV2/mergedSamples.root
featTreeName	=	fullEBTree
indexFilePath	=	dataV2/mergedSamplesShuffledIndices.root
indexTreeName	=	randomized_split
saveDir		=	trainingV2/
logFile		=	trainingV2//trainingLog_2020_09_12_19_08_19.log

BDT input features (15) :
['pho2x2OE3x3Full5x5', 'phoE1x3OESCrFull5x5', 'phoE2ndOESCrFull5x5', 'phoE2x5OESCrFull5x5', 'phoE5x5OESCrFull5x5', 'phoEmaxOESCrFull5x5', 'phoEtaWOPhiWFull5x5', 'phoEtaWidth', 'phoPhiWidth', 'phoR9Full5x5', 'phoS4Full5x5', 'phoSieieOSipipFull5x5', 'phoSigmaIEtaIEta', 'phoSigmaIEtaIPhi', 'phoSigmaIPhiIPhi']

Training with params:
{'objective': 'binary:logistic', 'eval_metric': 'auc', 'booster': 'gbtree', 'sampling_method': 'gradient_based', 'tree_method': 'gpu_hist', 'predictor': 'gpu_predictor', 'verbosity': 1, 'nthread': -1, 'seed': 6623853, 'scale_pos_weight': 1.0, 'max_depth': 4, 'min_child_weight': 5140, 'alpha': 572.9, 'lambda': 18.0, 'gamma': 87.45, 'subsample': 0.28, 'colsample_bytree': 0.67, 'eta': 0.0395}



Total data:
Total Events	=	61970811 (B/S= 51775921 / 10194890)
BackgroundSumW/SignalSumW 	=	269189226389.518951 / 53004456496.799980	=	5.078615

Training data:
Total Events	=	24782828 (B/S= 20704871 / 4077957)
BackgroundSumW/SignalSumW 	=	107648148835.787308 / 21429305093.572678	=	5.023408

Validation data:
Total Events	=	18597782 (B/S= 15539211 / 3058571)
BackgroundSumW/SignalSumW 	=	80802652594.335159 / 15699627885.225983	=	5.146788

Test data:
Total Events	=	18590201 (B/S= 15531839 / 3058362)
[232]	train-auc:0.99503	test-auc:0.99467	validation-auc:0.99461
[233]	train-auc:0.99504	test-auc:0.99468	validation-auc:0.99462
[234]	train-auc:0.99504	test-auc:0.99468	validation-auc:0.99462
[235]	train-auc:0.99504	test-auc:0.99468	validation-auc:0.99462
[236]	train-auc:0.99506	test-auc:0.99470	validation-auc:0.99464
[237]	train-auc:0.99507	test-auc:0.99471	validation-auc:0.99465
[238]	train-auc:0.99507	test-auc:0.99471	validation-auc:0.99465
[239]	train-auc:0.99509	test-auc:0.99473	validation-auc:0.99467
[240]	train-auc:0.99509	test-auc:0.99473	validation-auc:0.99467
[241]	train-auc:0.99510	test-auc:0.99474	validation-auc:0.99467
[242]	train-auc:0.99511	test-auc:0.99474	validation-auc:0.99468
[243]	train-auc:0.99511	test-auc:0.99475	validation-auc:0.99469
[244]	train-auc:0.99513	test-auc:0.99476	validation-auc:0.99470
[245]	train-auc:0.99513	test-auc:0.99476	validation-auc:0.99470
[246]	train-auc:0.99514	test-auc:0.99477	validation-auc:0.99471
[247]	train-auc:0.99514	test-auc:0.99477	validation-auc:0.99471
[248]	train-auc:0.99515	test-auc:0.99477	validation-auc:0.99472
[249]	train-auc:0.99516	test-auc:0.99478	validation-auc:0.99472
[250]	train-auc:0.99516	test-auc:0.99479	validation-auc:0.99473
[251]	train-auc:0.99517	test-auc:0.99479	validation-auc:0.99473
[252]	train-auc:0.99518	test-auc:0.99480	validation-auc:0.99474
[253]	train-auc:0.99518	test-auc:0.99481	validation-auc:0.99475
[254]	train-auc:0.99520	test-auc:0.99482	validation-auc:0.99476
[255]	train-auc:0.99520	test-auc:0.99482	validation-auc:0.99477
[256]	train-auc:0.99521	test-auc:0.99483	validation-auc:0.99478
[257]	train-auc:0.99522	test-auc:0.99484	validation-auc:0.99478
[258]	train-auc:0.99523	test-auc:0.99484	validation-auc:0.99479
[259]	train-auc:0.99523	test-auc:0.99485	validation-auc:0.99479
[260]	train-auc:0.99524	test-auc:0.99486	validation-auc:0.99480
[261]	train-auc:0.99524	test-auc:0.99486	validation-auc:0.99480
[262]	train-auc:0.99525	test-auc:0.99487	validation-auc:0.99481
[263]	train-auc:0.99526	test-auc:0.99487	validation-auc:0.99481
[264]	train-auc:0.99526	test-auc:0.99488	validation-auc:0.99482
[265]	train-auc:0.99527	test-auc:0.99489	validation-auc:0.99482
[266]	train-auc:0.99528	test-auc:0.99489	validation-auc:0.99483
[267]	train-auc:0.99529	test-auc:0.99490	validation-auc:0.99484
[268]	train-auc:0.99530	test-auc:0.99491	validation-auc:0.99485
[269]	train-auc:0.99530	test-auc:0.99492	validation-auc:0.99486
[270]	train-auc:0.99531	test-auc:0.99492	validation-auc:0.99486
[271]	train-auc:0.99531	test-auc:0.99493	validation-auc:0.99486
[272]	train-auc:0.99532	test-auc:0.99493	validation-auc:0.99486
[273]	train-auc:0.99532	test-auc:0.99493	validation-auc:0.99487
[274]	train-auc:0.99533	test-auc:0.99494	validation-auc:0.99487
[275]	train-auc:0.99534	test-auc:0.99495	validation-auc:0.99488
[276]	train-auc:0.99534	test-auc:0.99495	validation-auc:0.99488
[277]	train-auc:0.99535	test-auc:0.99495	validation-auc:0.99489
[278]	train-auc:0.99536	test-auc:0.99496	validation-auc:0.99489
[279]	train-auc:0.99536	test-auc:0.99496	validation-auc:0.99490
[280]	train-auc:0.99537	test-auc:0.99497	validation-auc:0.99490
[281]	train-auc:0.99537	test-auc:0.99497	validation-auc:0.99491
[282]	train-auc:0.99538	test-auc:0.99497	validation-auc:0.99491
[283]	train-auc:0.99538	test-auc:0.99498	validation-auc:0.99491
[284]	train-auc:0.99538	test-auc:0.99498	validation-auc:0.99492
[285]	train-auc:0.99539	test-auc:0.99498	validation-auc:0.99492
[286]	train-auc:0.99540	test-auc:0.99500	validation-auc:0.99493
[287]	train-auc:0.99540	test-auc:0.99500	validation-auc:0.99494
[288]	train-auc:0.99541	test-auc:0.99501	validation-auc:0.99494
[289]	train-auc:0.99541	test-auc:0.99501	validation-auc:0.99494
[290]	train-auc:0.99542	test-auc:0.99501	validation-auc:0.99494
[291]	train-auc:0.99542	test-auc:0.99502	validation-auc:0.99495
